Date,urchin,bin,diameter,height,tagged,tag,duration,notes
2018-11-05,1,1,7.1,3.7,tag ,167,04:40,
2018-11-05,2,1,7.8,4.35,no tag,NA,14:06,
2018-11-05,3,1,5.6,3.2,no tag,NA,03:01,
2018-11-05,4,2,4.6,2.55,tag ,163,14:44,
2018-11-05,5,2,7.4,4.6,no tag,NA,03:13,
2018-11-05,6,2,7.25,3.1,tag ,116,09:32,
2018-11-05,7,3,4,1.8,no tag,NA,18:07,
2018-11-05,8,3,7.7,4.3,no tag,NA,04:37,
2018-11-05,9,3,8.4,4.3,tag ,178,27:03,
2018-11-05,10,4,7.3,4.25,tag ,152,10:23,urchin had thrown tag
2018-11-05,11,4,6.45,3.3,tag ,109,01:36,
2018-11-05,12,4,4.85,2.1,no tag,NA,02:13,
